com.fenqile.fenqile	分期乐
com.zivn.cloudbrush3	书法字典大全
com.brt.mate	时光手帐Pro
com.sogou.toptennews	今日十大新闻
com.nice.main	nice
com.example.businesshall	手机营业厅
com.jx.cmcc.ict.ibelieve	和我信
cn.youth.news	中青看点
com.luojilab.player	得到
com.tmri.app.main	交管12123
com.black.unique	全球购骑士特权
com.tnscreen.main	多屏互动
cn.mama.pregnant	妈妈网孕育
com.denglin.moji	墨记
com.hunting.matrix_callershow	嗨来电
com.futurefleet.pandabus.ui.yx	宜兴享出行
cn.ledongli.ldl	乐动力
com.jxedt	驾校一点通
com.anjuke.android.app	安居客一二手房新房租房商铺
com.koalareading.koalareading	考拉阅读
com.mst.activity	宝安通
com.justjump.loop	Loop跳绳训练专业平台
com.wandafilm.app	万达电影
com.hongxiu.app	红袖读书
com.lanjiyin.xiyikaoyan	医学考研
com.caiyuninterpreter.activity	彩云小译
com.csii.tianjin.mobilebank	天津银行
com.lanjingren.ivwen	美篇
com.mengjun.DanNovel	书耽免费耽美小说
com.netease.yanxuan	网易严选
com.qingdaonews.bus	青岛公交查询
com.qmtt.qmtt	启蒙听听儿歌故事
com.alpha.lagouapk	拉勾招聘
com.cqmc.client	重庆移动
com.app.shanghai.metro	Metro大都会
cn.caocaokeji.user	曹操出行
com.biku.diary	青柠手帐
com.sitech.ac	移动惠生活
cn.missfresh.application	每日优鲜
com.razkidscamb.americanread.android.architecture.newrazapp	RAZ课堂
com.mxr.dreambook	4D书城
com.spark.peak	巅峰训练
com.crgt.ilife	掌上高铁
com.zhaowen.caocao	曹操讲作文
com.zaijia.xiaodu	小度在家
com.baidu.minivideo	全民小视频
com.tencent.tmgp.xinhuluwa	葫芦娃
com.cheersedu.app	湛庐阅读
com.pocket.snh48.activity	口袋48
com.sohu.newsclient	搜狐新闻
com.tbkt.student	同步课堂学生
com.gzyct.yctwallet	羊城通
com.tencent.rijvideo	看点视频-腾讯看点短视频，年轻人都爱看
com.alibaba.android.rimet	钉钉
com.UCMobile	UC浏览器
com.tencent.tmgp.qjnn	奇迹暖暖
com.taptap	TapTap
sogou.mobile.explorer	搜狗浏览器
com.fenbi.android.zenglish	斑马AI课（原斑马英语）
com.qihoo.appstore	360手机助手
com.tencent.tmgp.WePop	跑跑卡丁车官方竞速版
com.picsart.studio	PicsArt
com.tencent.tmgp.dwrg	第五人格（生存类独立游戏）
com.wukongtv.wkremote.client	悟空遥控器
com.sogou.activity.src	搜狗搜索
com.tencent.game.SSGame	天天飞车
com.psyone.brainmusic	小睡眠
cn.ticktick.task	滴答清单
com.tencent.wemeet.app	腾讯会议
com.happyelements.AndroidClover.www	海滨消消乐-建造岛屿
com.happyelements.AndroidAnimal.qq	开心消消乐-限时有礼
com.tencent.peng	天天爱消除（阿童木版）
com.lianjia.beike	贝壳找房一租房新房二手房
com.autonavi.cmccmap	和地图
com.huajiao	花椒直播
com.kaola	考拉海购
com.xiaoying.cardloan	小赢卡贷
com.huawei.health	华为运动健康
com.dinoenglish.yyb	E英语宝
