com.sofunny.Sausage	xiangchangpaidui
com.tencent.cldts	guangrongshiming
com.lequ.main	lequ
com.sencent.mm	mingrenpengyouquan
com.pdragon.new2048	xin2048
com.imbastar.c5game	c5game
com.wedobest.xiangqi	xiangqi4
com.ycgame.smsy.aligames	shumenshouyou
com.tencent.tmgp.xinhuluwa	huluwazhengban
com.tencent.tmgp.dwrg	diwurenge.shengcunleiduliyouxi
com.wedobest.piano	baikuaierdaren3
com.lzj.shanyi	shanyi
com.k7k7.goujihd.yybhd.v2	duolegouji4
com.kingnet.gundam.aligames	gandazhengfengduijue
com.tencent.tmgp.zmxyol	zaomengxiyouol4
com.netease.mrzh.huawei	mingrizhihou
com.tencent.tmgp.catcondo	maomigongyu
com.songwo.pig	yangguangyangzhuchang
com.wepie.weplay	huiwanshuishiwodi
com.outfit7.mytalkingangelafree	wodeanjila
com.tencent.tmgp.pandadastudio.ninja3	renzhebixusi3
com.netease.xy3d	menghuanxiyousanweiban
com.hypergryph.arknights	mingrifangzhou
com.team108.xiaodupi	xiaodupi
com.njh.biubiu	biubiujiasuqi
com.tencent.tmgp.ttwq	tengxunweiqi
com.tencent.LEGOCUBE	legaowuxian
com.tencent.gamehelper.smoba	wangzheyingdi
com.c2vl.kgamebox	koudailangrensha
com.hetiu.gamecenter	jinzhuyouxihezi
com.tencent.af	wangpaizhanshi
love.match.set	aishangxiaoxiaoxiao
com.caniculab.musical	danchangdaren
com.sabac.hy	huanyou
com.xmeng.mrddz	mingridoudizhu
cn.net.dascom.xrbridge	xinruiqiaopai
com.tencent.kapu	qiapu
com.yuanlue.chongwu	hudongzhuomianchongwu
com.tencent.ttcaige	caigexingqiu
tv.dasheng.vs	dashengdianjing
com.tencent.tmgp.yongyong.lztg	liangzitegong
com.tencent.lzhx	longzuhuanxiang
com.martian.qplay	qwanxiaoyouxi
com.qmyl.qifei	quanminyanglong
com.tencent.tmgp.shoufutefannaoo	shoufutefannao
com.leshu.snake	tanchishezaixianhongbaoban
com.sdbean.werewolf	tiantianlangren
cn.gloud.client.mobile	gelaiyunyouxikehuduan
com.mfp.jelly.yingyongbao	binguoxiaoxiaoxiaoxiaoxiaonengkaidian
com.tencent.swy	shiwuyu
com.tencent.tmgp.yongyong.clx	yimengjianghu
color.by.number.diamond.sequins.art.picture.cn	zuanshitutule
com.anzogame.wzry	wangzherongyaozhangyoubao
jp.co.ponos.battlecatstw	maomidazhanzheng
com.tencent.tmgp.yongyong.frxy	feirenxueyuan
com.zbsw.yizhan.go	yizhan
com.dalongtech.netbar	zhangshangwangka
com.ttsk.coinpig	jinbiyangzhuchang
cn.bigfun	bigfun
com.byfen.market	baifenwangyouxihezi
com.netease.hearthstone	lushihezi
com.lonlife.gameaccelerater	linglongjiasuqi
com.imendon.lovelycolor	shaonvyumao
com.indeed.golinks	yikeweiqi
com.q1.LWSY.android.aligames	longwu
com.leshu.gamebox	douyouxiaoyouxi
com.smwl.x7market	xiao7shouyou
com.longtugame.rxjh.aligames	rexuejianghu
com.qqgame.happymj	huanlemajiang
com.anzogame.lol	lolzhangyoubao
cmb.pb	cmbchina
com.chinamworld.main	ccb
com.chinamworld.bocmbci	chinabank
com.icbc	icbc
com.android.bankabc	nongyebank
com.ecitic.bank.mobile	zhongxinbank
com.bankcomm.Bankcomm	bankcomm
com.yitong.mbank.psbc	youchuyinhang
cn.com.spdb.mobilebank.per	spdb
com.cgbchina.xpt	guangfayinhang
com.cebbank.mobile.cemb	cebbank
cn.com.cmbc.newmbank	minshengyinhang
cn.com.bhbc.mobilebank.per	bohaishoujiyinxing
com.chinatelecom.bestpayclient	yizhifu
com.lakala.android	lakala
com.paic.zhifu.wallet.activity	yiqianbao
com.unionpay	yunshanfu
com.cib.cibmb	xingyeyinhang
com.hxb.mobile.client	huaxiashoujiyinhang
com.yitong.fjnx.mbank.android	fujiannongcunxinyongsheshoujiyinxingkehuduan
com.gbanker.gbankerandroid	huangjinqianbao
com.yitong.mbank.jjccb	jiujiangyinxing
com.yitong.ksrcb.mbank.android	kunshannongshangxing
com.shengjingbank.mobile.cust	shengjingyinxing
com.csii.hkb	hankouyinxing
com.cmcc.hebao	hebaozhifu
com.netease.epay	wangyizhifu
com.rytong.bankbj	beijingyinxing
cn.jsb.china	jiangsuyinhang
com.haixia	haixiayinxing
com.itcode.reader	manmanmanhua
com.erdo.android.FJDXCartoon	aidongman
com.qq.ac.android	tengxundongman
com.android.comicsisland.activity	manhuadao
com.kuaikan.comic	kuaikanmanhua
com.diyidan	diyidan
com.wbxm.icartoon	kanmanhua
com.weibo.comic	weibodongman
com.comic.isaman	aisamanhua
com.naver.linewebtoon.cn	dongman2
com.tencent.nijigen	bodong
com.bilibili.comic	bilibilimanhua
com.liansong.comic	xiaojimanhua
com.iqiyi.comic	aiqiyimanhua
com.comic.comicapp	haokanmanhua
com.u17.comic.phone	youyaoqimanhua
cn.cj.pe	139.mail
com.sina.mail.free	sina.mail
com.tencent.androidqqmail	qq.mail
com.asiainfo.android	woyouxiang
com.corp21cn.mail189	189.mail
com.netease.mail	wangyiyouxiangdashi
com.xunlei.downloadprovider	thunder
com.pplive.androidphone	pptv
com.funshion.video.mobile	fengxing
com.kdweibo.client	yunzhijia
com.sg.sledog	sougouhaomatong
com.baidu.searchbox	baidu.other
com.dianping.v1	dazhongdianping
com.foundao.xinhua_android	xinhuawang
com.m4399.gamecenter	4399youxihe
com.wuba	58tongcheng
com.sina.news	sinaxinwen
com.anjuke.android.app	anjuke
com.ifeng.news2	fenghuangxinwen
com.sohu.newsclient	sohuxinwen
com.tencent.news	qqxinwen
com.netease.newsreader.activity	163xinwen
com.house365.newhouse	365taofang
com.babytree.apps.pregnancy	babytree
com.wondertek.paper	pengpaixinwen
com.nineteenlou.nineteenlou	19lou
com.zol.android	zhongguancunzaixian
com.chinahr.android.m	zhonghuayingcaiwang
com.zhaopin.social	zhilianzhaopin
bczp.activity	baichengqiuzhibao
com.sogou.activity.src	sougousousuo
com.mogujie	mogujie
com.cubic.autohome	autohome
cn.damai	damaiwang
com.zhihu.android	zhihu
com.lovebizhi.wallpaper	aibizhi
vz.com	feichangzhun
com.douguo.recipe	douguomeishi
com.infzm.ireader	nanfangzhoumo
com.shoujiduoduo.ringtone	lingshengduoduo
com.ss.android.article.news	jinritoutiao
com.hupu.games	hupu
com.xiachufang	xiachufang
com.szzc	shenzhouzuche
com.yongche.android	yidaoyongche
android.zhibo8	zhiboba
com.umetrip.android.msky.app	hanglvzongheng
com.lingan.seeyou	meiyou
com.tuan800.tao800	zhe800
com.yumc.phsuperapp	bishengke
fm.jihua.kecheng	kechenggezi
com.kingsoft	jinshanciba
cn.chinabus.main	8684gongjiao
com.baidu.wenku	baiduwenku
com.docin.zlibrary.ui.android	doudingshufang
cn.ninegame.gamemanager	jiuyou
com.quanleimu.activity	baixingwang
com.guokr.android	guokejingxuan
com.huanqiu.news	huanqiushibao
com.jesson.meishi	meishijie
com.netease.huatian	huatian
cn.cntvnews	cctvxinwen
com.theotino.chinadaily	chinadaily
com.womai	zhongliangwomaiwang
me.chunyu.ChunyuDoctor	chunyuyisheng
com.manle.phone.android.yaodian	zhangshangyaodian
com.baidu.iknow	baiduzhidao
com.baidu.baike	baidubaike
com.iflytek.ringdiyclient	kuyinlingsheng
com.wangzhi.MaMaHelp	lamabang
com.meitu.meipaimv	meipai
com.kugou.android.ringtone	kugoulingsheng
com.caijing	caijingzazhi
com.jingdian.tianxiameishi.android	meishitianxia
cn.ecook	wangshangchufang
cn.mucang.xiaomi.android.wz	quanguoweizhangchaxun
com.agoda.mobile.consumer	agoda
com.vmall.client	huaweishangcheng
com.liulishuo.engzo	yingyuliulishuo
com.soft.blued	blued
com.duitang.main	duitang
com.yaya.mmbang	mamabang
com.jiongji.andriod.card	baicizhan
com.jiuxianapk.ui	jiuxianwang
com.lofter.android	lofter
com.mtime	mtime
com.koudai.weidian.buyer	weidian
com.xiaomi.shop	xiaomishangcheng
com.csair.mbp	nanfanghangkong
com.rytong.hnair	hainanhangkong
com.air.sz	shenzhenhangkong
com.bw30.zsch	sichuanhangkong
com.china3s.android	chunqiuhangkong
com.towords	tuoci
com.duolingo	duolinguo
com.baidu.homework	zuoyebang
com.xtuone.android.syllabus	chaojikechengbiao
com.fenbi.android.gaozhong	yuantiku
com.wenba.bangbang	xuebajun
com.greenline.guahao	weiyi
com.sankuai.meituan.takeoutnew	meituanwaimai
com.husor.beibei	beibeiwang
com.UCMobile	UCliulanqi
com.tencent.mtt	qq.browser
com.smzdm.client.android	shenmezhidemai
com.jianshu.haruki	jianshu
cc.fotoplace.app	zuji
com.anzogame.game	dnfzhangyoubao
com.anzogame.hs	lushichuanshuozhangyoubao
com.dongqiudi.news	dongqiudi
com.android36kr.app	36ke
com.hipu.yidian	yidianzixun
com.peopledailychina.activity	renminribao
com.ruanmei.ithome	itzhijia
com.boxfish.stu	boxfishheziyuyingyu
com.nineton.weatherforecast	zhongyangtianqiyubao
com.edu.android.daliketang	qingbeiwangxiao
com.gj_1bbmm.primaryenglish	xiaoxueyingyurenjiaoban
com.qingclass.jgdc	jiguangdanci
com.color.by.number.paint.ly.pixel.art.cn	paintly
com.tuoluo.world	tuoluoshijie
com.xiachufang.lazycook	lanfanmeishi
com.shenmo.yunxuetangapp	shenmoxuetang
cn.lnts.fc	lunengtiyu
com.power.dapengeducation	dapengjiaoyu
qingclass.qukeduo.app	qukeduo
com.net.zdsoft.netstudy.netstudy_v5_mobile_app	kehouwang
com.huitouche.android.app	shengshenghuitouche
com.hunting.matrix_callershow	hailaidian
com.justjump.loop	loop
com.yoloho.dayima	dayimayuejingqizhushou
com.example.gxcs_app	guangxirenshe12333
com.truedian.dragon	weishangxiangce2
com.imibaby.client	mitu2
com.ichoice.wemay	weimai2
com.netease.gl	wangyidashen
com.sup.android.superb	pipixia
com.fenbi.android.leo	xiaoyuankousuan
com.google.android.apps.translate	googlefanyi
com.banma	banmahuiyuan
cn.ji_cloud.android	jiyunpuhuiyundiannao
com.imaginer.yunji	yunji2
com.yiche.autoeasy	yiche
com.sitech.ac	anhuimobile
com.glodon.drawingexplorer	cadkuaisukantu
cn.guancha.app	guanchazhe
com.wandafilm.app	wandadianying
com.julanling.app	anxinjijiaban
com.haodf.android	haodaifu
com.alibaba.wireless	alibaba
com.sinovatech.unicom.ui	liantongyingyeting
com.dailyyoga.cn	meiriyujia
com.enjoymeet.aloapp	aloha
com.wodi.who	wanba
com.yipiao	zhixinghuochepiao
com.autohome.mycar	weizhangchaxunzhushou
com.pingan.papd	pinganhaoyisheng
com.dashang.tiangou	tiangouwang
com.wifi.key	wifiyaoshi
com.hpbr.bosszhipin	bosszhipin
com.lchr.diaoyu	diaoyuren
com.qyer.android.jinnang	qiongyou
com.yaochufa.app	yaochufazhoubianyou
com.mampod.ergedd	ergediandian
com.yiban.app	yiban
com.gexing.ui	gexing
com.eolexam.com.examassistant	gaokaobang
com.dotamax.app	max
com.rong360.app	rong360
com.wm.dmall	duodian
com.oecommunity.oeshop	1haoshequ
com.meishe.videoshow	meishe
com.jym.mall	jiaoyimao
com.gamersky	youminxingkong
com.flamingo.gpgame	guopanyouxi
com.zl.fqbao	zhaolianjinrong
cn.emoney.pf	yimengcaopanshoujiaqiangban
com.cmschina.stock	zhiyuanyihutong
com.eastmoney.android.berlin	dongfangcaifu
com.fengjr.mobile	fenghuangjinrong
com.guagua.finance	guaguacaijing
com.bokecc.dance	tangdouguangchangwu
com.zxscnew	zhongxinzhengquan
com.lphtsccft	zhanglecaifutong
com.lejent.zuoyeshenqi.afanti	afanti
com.ibike.publicbicycle.activity	yonganxing
com.android.app.quanmama	quanmamayouhuiquan
com.bstoneinfo.pics	tupiansousou
com.basestonedata.instalment	xiaoxiangyoupin
com.dealmoon.android	beimeishengqiankuaibao
me.suncloud.marrymemo	hunliji
com.yuantiku.tutor	yuanfudao
tc.everphoto	everphoto
com.quvideo.xiaoying	xiaoying
com.seblong.idream	woniushuimian
com.job.android	qianchengwuyou51job
com.secoo	sikushechipin
com.yek.android.game5173	5173youxijiaoyi
com.smk	hangzhoushiminka
com.hhxx.juniorlanguage	chuzhongyuwen
com.qihoo.loan	360jietiao
com.iflytek.elpmobile.smartlearning	zhixuewang
com.greenpoint.android.mc10086.activity	zhongguoyidong
com.example.businesshall	zhejiangyidongyingyeting
com.xiaomi.smarthome	mijia
com.wuba.zhuanzhuan	zhuanzhuan
com.jzzs.ParentsHelper	anquanjiaoyupingtai
com.showself.ui	xiusemeinvxiuchang
com.hjwordgames	hujiangkaixincichang
cn.mama.pregnant	mamawangyunyu
com.ataaw.tianyi	tianyishenghuo
